artist;id;name;degree
ZAYTOVEN (1247771);1247771;ZAYTOVEN;3
Alicia Keys (228);228;Alicia Keys;3
Pronto (13275767);13275767;Pronto;3
Wanja Janeva (4805136);4805136;Wanja Janeva;3
Butch (181192);181192;Butch;3
Cameron Walker (7851644);7851644;Cameron Walker;3
Tydi (292081);292081;Tydi;3
Nik & Jay (214878);214878;Nik & Jay;3
Riggi & Piros (5020915);5020915;Riggi & Piros;3
Sam James (508476);508476;Sam James;3
Mr. Vegas (8737);8737;Mr. Vegas;3
Conor Darvid (8445032);8445032;Conor Darvid;3
Mr Vegas (367288);367288;Mr Vegas;3
morten (14577129);14577129;morten;3
 (10925540);10925540;;3
 (5227137);5227137;;3
 (14180929);14180929;;3
 (8811616);8811616;;3
 (10083752);10083752;;3
 (4063371);4063371;;3
 (11811989);11811989;;3
 (1997681);1997681;;3
 (11811987);11811987;;3
Samy Deluxe (12036);12036;Samy Deluxe;3
Marvin Game (5420197);5420197;Marvin Game;3
Oda (1247136);1247136;Oda;3
Raye (11197900);11197900;Raye;3
Frida Sundemo (300490);300490;Frida Sundemo;3
Judah Smith (63914002);63914002;Judah Smith;3
Chandler Moore (6830713);6830713;Chandler Moore;3
Tori Kelly (1416675);1416675;Tori Kelly;3
Jessica Jarrell (470679);470679;Jessica Jarrell;3
Lil Dicky (4907422);4907422;Lil Dicky;3
Alpha P (6863531);6863531;Alpha P;3
Halsey (5292512);5292512;Halsey;3
Beam (472954);472954;Beam;3
Dominic Fike (13864157);13864157;Dominic Fike;3
BEAM (107753562);107753562;BEAM;3
Clever (1261918);1261918;Clever;3
TroyBoi (5105877);5105877;TroyBoi;3
Dan + Shay (5112746);5112746;Dan + Shay;3
Jaden (1018354);1018354;Jaden;3
Tems (13905711);13905711;Tems;3
Wizkid (3933641);3933641;Wizkid;3
Shawn Mendes (5962948);5962948;Shawn Mendes;3
Omah lay (56094992);56094992;Omah lay;3
Billie Eilish (9635624);9635624;Billie Eilish;3
GIVĒON (48995601);48995601;GIVĒON;3
Daniel Caesar (5245183);5245183;Daniel Caesar;3
The Kid Laroi (51204222);51204222;The Kid Laroi;3
Steve James (376855);376855;Steve James;3
Dermot Kennedy (12033224);12033224;Dermot Kennedy;3
Ryan Tedder (1579045);1579045;Ryan Tedder;3
Bali Bandits (6460589);6460589;Bali Bandits;3
 (1420818);1420818;;3
 (1346116);1346116;;3
 (515052);515052;;3
 (9657022);9657022;;3
 (4514545);4514545;;3
 (116959);116959;;3
Navos (14402619);14402619;Navos;3
Liam O'Donnell (63800);63800;Liam O'Donnell;3
ROZES (7898578);7898578;ROZES;3
Sofia Carson (8425170);8425170;Sofia Carson;3
East & Young (349680);349680;East & Young;3
Sam Smith (1097709);1097709;Sam Smith;3
Pink Sweat$ (15320551);15320551;Pink Sweat$;3
Ship Wrek (9541204);9541204;Ship Wrek;3
Dotan (1202336);1202336;Dotan;3
Yellow Claw (2831401);2831401;Yellow Claw;3
Passion Pit (95538);95538;Passion Pit;3
Uffie (5317);5317;Uffie;3
Roxette (1755);1755;Roxette;3
Throttle (1235717);1235717;Throttle;3
KAREN HARDING (187000);187000;KAREN HARDING;3
Jackson Wang (11140418);11140418;Jackson Wang;3
Jvke (14486481);14486481;Jvke;3
Cody Simpson (652303);652303;Cody Simpson;3
Hook n Sling (201327);201327;Hook n Sling;3
Lucas & Steve (1465570);1465570;Lucas & Steve;3
Years & Years (4023815);4023815;Years & Years;3
Mr. Probz (2137231);2137231;Mr. Probz;3
Dolly Parton (8741);8741;Dolly Parton;3
OneRepublic (74398);74398;OneRepublic;3
Kamille (5022271);5022271;Kamille;3
Charlie Puth (1362735);1362735;Charlie Puth;3
Sharaya J (4524596);4524596;Sharaya J;3
Machine Gun Kelly (428675);428675;Machine Gun Kelly;3
MC Stretch (5135904);5135904;MC Stretch;3
EMC (299719);299719;EMC;3
MC DV8 (4831914);4831914;MC DV8;3
Belinda (6329);6329;Belinda;3
 (9091216);9091216;;3
 (11847389);11847389;;3
 (2395);2395;;3
